cluster_id,official_name,query,decision,conf_norm,nli_entail_norm,sbert_norm,bm25_norm,final_rank_score,weighted_sum,geometric_mean,conservative_min,demand_score,conf,nli_entail,sbert,bm25,rank
22,헌법재판소 공무원 규칙,"핵심 키워드: 공수처, 정동훈, 다녀왔다, 노상원, 수사하, 수사해야, 유출됐다며, 특검팀, 수사에, 구치소, 외환, 공개돼, 국군정보사령관, 업무상, 유출한.",자동 확정,0.7647058823529411,0.7647058823529411,0.8529411764705882,0.47058823529411764,0.7891300274781643,0.7538873051089128,0.713739143731276,0.47058823529411764,0.7378280405578581,0.7802,0.5764,0.4108,0.0,1
15,방송법,"핵심 키워드: 고발인단, 성폭력, 불법정보, 여성청소년수사팀에, 제17조, 단체고발, tv, 경찰청, 발달에, 정신건강, 지상파, 참가신청, 20시, 3차, 대국민.",자동 확정,0.9411764705882353,1.0,0.17647058823529413,0.9411764705882353,0.6723314609932093,0.7689325843972838,0.6372642828531832,0.17647058823529413,0.7162652637796436,0.8135,0.8709,0.3144,3.8351,2
3,방송법,"핵심 키워드: 게시됩니다, 가족합창단발달장애자폐스펙트럼지적장애, 자녀들, 아임소리아이캔아이엠위캔위아위러브창작음악극, 희귀난치성음악치료사composerconductor, 어렵지, 단원들, 그들, 아임소리, 20주차, 어라운드스토리, 준수하고, 전원, 2기, 구성된.",자동 확정,0.9117647058823529,0.9117647058823529,0.7352941176470589,0.47058823529411764,0.4547140258329074,0.6671797279802218,0.6657653865619712,0.4547140258329074,0.6666139914129215,0.8092,0.6185,0.3956,0.0,3
21,공문서에 대한 아포스티유 및 본부영사확인서 발급에 관한 규정 시행규칙,"핵심 키워드: 까면, 복귀, 언론과, 공통점, 중요사건, 열람했다, 아침, 나라, 시작하던, 8기, 반복해서, 2억, 격려해주시면, 의미입니다, 전개됩니다.",자동 확정,0.7941176470588235,0.7941176470588235,0.7058823529411765,0.47058823529411764,0.5662672047349707,0.661800999541047,0.6528792996206054,0.47058823529411764,0.6582323195728703,0.7897,0.5793,0.3944,0.0,4
34,공문서에 대한 아포스티유 및 본부영사확인서 발급에 관한 규정 시행규칙,"핵심 키워드: 게시하거, 법적인, 대화, 물론이다, 심하면, 순서, 도와드리며, 28살에, 디지털참여, 남긴, 시인하려던, 기록해두면, 당사자인, 인정돼서, 쓰려면.",자동 확정,0.7058823529411765,0.7058823529411765,0.6176470588235294,0.47058823529411764,0.6336500109764657,0.6446364749788216,0.6202104906032675,0.47058823529411764,0.6348660812286,0.753,0.506,0.3827,0.0,5
12,지방세특례제한법 시행령,"핵심 키워드: 수급자, 청년성장프로젝트, 견학, 성공취업, 34세, 20명, 이동, 관심있, 집결, 참여자, 기념품, 그리다, 우수자, 청년모아, 수료식.",자동 확정,0.8235294117647058,0.8235294117647058,0.9705882352941176,0.47058823529411764,0.2728000013558728,0.5826494123070549,0.610064476335342,0.2728000013558728,0.5936154379183698,0.793,0.5859,0.4185,0.0,6
14,공문서에 대한 아포스티유 및 본부영사확인서 발급에 관한 규정 시행규칙,"핵심 키워드: 적시했다, 선거인, 국민신문고, 21대, 제256조, 유도인, 여성들, 제39대, 2천명, 속보, 참여한다, 217명, 후보자비방, 강동영, 불안해하고.",자동 확정,0.8529411764705882,0.8529411764705882,0.29411764705882354,0.47058823529411764,0.4985009505546393,0.6170474390453851,0.5497095224880235,0.29411764705882354,0.5901122724224405,0.8005,0.601,0.3223,0.0,7
4,공문서에 대한 아포스티유 및 본부영사확인서 발급에 관한 규정 시행규칙,"핵심 키워드: 유출, 보안, 담당업무, 악성코드, skt, 가입, 복제, 공격, world, 차단, 2단계, 위약금, 관리해주, 보유한, 5가지.",휴먼 검토,0.5588235294117647,0.5588235294117647,0.7647058823529411,0.47058823529411764,0.5967149149843001,0.5857447895231318,0.5824925182850513,0.47058823529411764,0.5844438810278996,0.743,0.4861,0.4081,0.0,8
25,공문서에 대한 아포스티유 및 본부영사확인서 발급에 관한 규정 시행규칙,"핵심 키워드: 미이용, 급여대장, 공고기간, 보려면, 전자적, 보유기간, 신고했으며, 졸업자, 제공되오니, hr관리, db, 통합스포츠센터, 제21조, 파기, 노무법인인본.",휴먼 검토,0.6176470588235294,0.6176470588235294,1.0,0.47058823529411764,0.3498556592972699,0.5340599107777315,0.5749130209466017,0.3498556592972699,0.5504011548452796,0.7457,0.4914,0.5414,0.0,9
26,공문서에 대한 아포스티유 및 본부영사확인서 발급에 관한 규정 시행규칙,"핵심 키워드: 잠정, 챗봇, 틱톡, 마켓, 바이트댄스, 다운로드, 서비스에, 성능, 모회사, 중국, 출시, 질의서, 딥시크, 생성형, 보완.",자동 확정,0.8823529411764706,0.8823529411764706,0.2647058823529412,0.47058823529411764,0.3669922396750314,0.5732674841053067,0.5131794333255932,0.2647058823529412,0.5492322637934213,0.8015,0.6031,0.319,0.0,10
